BIOS E-152, Plant Genetic Engineering for Medicine, Agriculture, and the Environment, Spring Term 2018 | CRN 25032, Online (live) web conference, Tuesdays, 5:10-7:10 pm, Jan. 23, 2018, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-155, Medical Microbiology, Spring Term 2018 | CRN 24224, On campus only, Tuesdays, 5:30-7:30 pm, Harvard Hall 201, Jan. 23, 2018, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-157, Viruses and Immunity: A Molecular Arms Race, Spring Term 2018 | CRN 25011, On campus with online option, Mondays, 7:40-9:40 pm, Maxwell-Dworkin G125, Jan. 22, 2018, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-16, Cell Biology, Spring Term 2018 | CRN 22958, On campus only, Wednesdays, 5:30-7:30 pm, Science Center Hall E, Jan. 24, 2018, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-162A, Human Pathophysiology I, Fall term 2017 | CRN 15353, On campus only, Mondays, 5:30-7:30 pm, Francois-Xavier Bagnoud Building, 651 Huntington Avenue G-13, Aug. 28, 2017, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-163, Human Endocrine Physiology, Fall term 2017 | CRN 15044, On campus with online option, Thursdays, 5:30-7:30 pm, 1 Story Street 304, Aug. 31, 2017, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-179, Gene Expression: A Hands-on Approach, January session | CRN 24205, On campus only, Tuesdays, Thursdays, 5:30-8:30 pm, Northwest Science Building 152, Jan. 2, 2018, Undergraduate credit: $1150, Graduate credit: $1800, Credits: 2
BIOS E-18, Evolution, Fall term 2017 | CRN 14330, On campus with online option, Mondays, 1-3 pm, 1 Story Street 306, Aug. 28, 2017, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-185, Gene Therapy and Gene Editing, Fall term 2017 | CRN 15036, On campus only, Wednesdays, 5:30-7:30 pm, Harvard Hall 202, Aug. 30, 2017, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-1A, Introduction to Molecular and Cellular Biology, Fall term 2017 | CRN 13096, On campus only, Mondays, Wednesdays, 7:40-9:40 pm, Science Center Hall D, Aug. 28, 2017, Undergraduate credit: $1550, Credits: 4
BIOS E-1B, Introduction to Organismic and Evolutionary Biology, Spring Term 2018 | CRN 22957, On campus only, Mondays, Wednesdays, 7:40-9:40 pm, Science Center Hall D, Jan. 22, 2018, Undergraduate credit: $1550, Credits: 4
BIOS E-200, Proseminar: Graduate Research Methods and Scholarly Writing in the Biological Sciences, Fall term 2017 | CRN 13092, On campus only, Tuesdays, 7:40-9:40 pm, Sever Hall 104, Aug. 29, 2017, Graduate credit: $2700, Credits: 4
BIOS E-200, Proseminar: Graduate Research Methods and Scholarly Writing in the Biological Sciences, Spring Term 2018 | CRN 22950, On campus only, Thursdays, 7:40-9:40 pm, Sever Hall 112, Jan. 25, 2018, Graduate credit: $2700, Credits: 4
BIOS E-204, Developmental and Regenerative Biology, Fall term 2017 | CRN 14278, On campus only, Graduate credit: $2700, Credits: 4
BIOS E-206, Principles of Forensic Science, Spring Term 2018 | CRN 25124, On campus only, Tuesdays, 5:30-7:30 pm, Room to be announced, Jan. 23, 2018, Graduate credit: $2700, Credits: 4
BIOS E-210, Neurobiology of Circadian Rhythms: Regulation of Physiological Systems and Involvement in Disease States, Fall term 2017 | CRN 15073, On campus only, Thursdays, 7:40-9:40 pm, Sever Hall 112, Aug. 31, 2017, Graduate credit: $2700, Credits: 4
BIOS E-232, Neurobiology of Emotion and Psychiatric Illnesses, Spring Term 2018 | CRN 23451, On campus only, Thursdays, 7:40-9:40 pm, Sever Hall 111, Jan. 25, 2018, Graduate credit: $2700, Credits: 4
BIOS E-240, Biochemical and Physiological Adaptation of Microbes, Spring Term 2018 | CRN 23825, On campus only, Wednesdays, 5:30-7:30 pm, Northwest Science Building B109, Jan. 24, 2018, Graduate credit: $2700, Credits: 4
